Order_ID,Quantity,Payment_Method
1,5,Credit Card
2,9,Debit Card
3,5,Credit Card
4,1,UPI
5,5,Credit Card
6,1,Credit Card
7,8,Credit Card
8,9,UPI
9,9,Credit Card
10,10,Debit Card
11,3,Debit Card
12,8,Net Banking
13,2,Net Banking
14,7,Net Banking
15,7,Credit Card
16,3,Credit Card
17,9,Cash on Delivery
18,1,Credit Card
19,8,UPI
20,2,Net Banking
21,5,Cash on Delivery
22,7,UPI
23,10,Cash on Delivery
24,5,Credit Card
25,5,Net Banking
26,7,Credit Card
27,5,Cash on Delivery
28,4,Cash on Delivery
29,9,Debit Card
30,1,Net Banking
31,2,Credit Card
32,3,UPI
33,5,UPI
34,2,Cash on Delivery
35,8,Debit Card
36,5,Credit Card
37,9,Credit Card
38,8,Credit Card
39,5,Credit Card
40,4,Debit Card
41,8,Debit Card
42,10,Debit Card
43,2,Credit Card
44,6,Net Banking
45,3,Credit Card
46,7,Credit Card
47,2,Debit Card
48,4,Credit Card
49,3,Credit Card
50,8,Debit Card
51,2,UPI
52,1,Credit Card
53,5,Net Banking
54,9,Debit Card
55,9,UPI
56,4,Debit Card
57,6,Credit Card
58,7,UPI
59,3,Cash on Delivery
60,2,Debit Card
61,3,Cash on Delivery
62,9,Credit Card
63,5,Net Banking
64,6,UPI
65,7,Credit Card
66,4,Debit Card
67,3,Net Banking
68,8,Debit Card
69,1,Debit Card
70,5,Cash on Delivery
71,9,Net Banking
72,9,Cash on Delivery
73,2,Net Banking
74,10,Debit Card
75,9,Net Banking
76,1,UPI
77,3,Credit Card
78,5,Cash on Delivery
79,3,UPI
80,5,Debit Card
81,10,UPI
82,7,Cash on Delivery
83,2,Debit Card
84,5,Debit Card
85,3,UPI
86,9,UPI
87,2,Credit Card
88,4,UPI
89,3,Cash on Delivery
90,8,Debit Card
91,4,Credit Card
92,5,Net Banking
93,1,UPI
94,10,Credit Card
95,6,Credit Card
96,1,Net Banking
97,8,Net Banking
98,9,Credit Card
99,8,Cash on Delivery
100,9,UPI
101,1,Net Banking
102,4,UPI
103,10,Credit Card
104,2,Cash on Delivery
105,1,UPI
106,5,Net Banking
107,8,UPI
108,10,Debit Card
109,4,Cash on Delivery
110,9,Cash on Delivery
111,5,Net Banking
112,8,UPI
113,5,Debit Card
114,7,Credit Card
115,3,UPI
116,3,Debit Card
117,9,Debit Card
118,4,Cash on Delivery
119,6,Net Banking
120,10,Cash on Delivery
121,8,Debit Card
122,9,Net Banking
123,4,Net Banking
124,6,Net Banking
125,2,Debit Card
126,9,Debit Card
127,5,Credit Card
128,1,Debit Card
129,6,Credit Card
130,3,Cash on Delivery
131,1,UPI
132,2,Debit Card
133,6,Debit Card
134,9,Debit Card
135,9,Net Banking
136,2,UPI
137,4,Credit Card
138,10,Debit Card
139,3,UPI
140,2,Net Banking
141,5,Debit Card
142,8,Net Banking
143,3,Credit Card
144,1,Credit Card
145,4,UPI
146,3,Debit Card
147,10,Credit Card
148,4,Cash on Delivery
149,1,Cash on Delivery
150,2,Net Banking
151,5,Net Banking
152,4,Net Banking
153,5,UPI
154,10,Cash on Delivery
155,10,Cash on Delivery
156,9,Credit Card
157,4,Credit Card
158,5,Net Banking
159,6,Cash on Delivery
160,8,Net Banking
161,2,Cash on Delivery
162,3,Debit Card
163,2,Net Banking
164,3,Cash on Delivery
165,2,UPI
166,1,Debit Card
167,1,UPI
168,7,Debit Card
169,2,Cash on Delivery
170,3,Debit Card
171,3,Debit Card
172,10,Debit Card
173,6,Cash on Delivery
174,1,Credit Card
175,3,Cash on Delivery
176,3,Credit Card
177,2,Net Banking
178,5,Net Banking
179,8,UPI
180,9,Net Banking
181,7,Cash on Delivery
182,4,Cash on Delivery
183,3,UPI
184,8,Cash on Delivery
185,7,Cash on Delivery
186,9,Cash on Delivery
187,10,UPI
188,5,Cash on Delivery
189,7,Cash on Delivery
190,2,Cash on Delivery
191,1,Debit Card
192,6,UPI
193,10,Credit Card
194,8,Credit Card
195,4,Cash on Delivery
196,2,Debit Card
197,1,Net Banking
198,7,Debit Card
199,6,UPI
200,2,Net Banking
201,6,Net Banking
202,3,Debit Card
203,4,Cash on Delivery
204,4,Debit Card
205,7,UPI
206,3,UPI
207,6,Cash on Delivery
208,1,Credit Card
209,10,Credit Card
210,8,Net Banking
211,6,Net Banking
212,7,UPI
213,2,Debit Card
214,6,Net Banking
215,6,Cash on Delivery
216,4,Credit Card
217,8,UPI
218,1,Debit Card
219,2,Credit Card
220,2,Cash on Delivery
221,5,Debit Card
222,7,Debit Card
223,8,Cash on Delivery
224,3,Debit Card
225,3,Credit Card
226,4,Net Banking
227,7,Debit Card
228,4,Cash on Delivery
229,3,UPI
230,8,Credit Card
231,6,Credit Card
232,3,UPI
233,10,UPI
234,2,UPI
235,4,Net Banking
236,8,Credit Card
237,5,Credit Card
238,9,UPI
239,4,UPI
240,9,Debit Card
241,5,Cash on Delivery
242,3,Net Banking
243,6,Net Banking
244,6,Net Banking
245,8,Debit Card
246,3,UPI
247,3,Debit Card
248,9,UPI
249,6,Credit Card
250,6,Debit Card
251,3,UPI
252,3,Cash on Delivery
253,1,Net Banking
254,10,Cash on Delivery
255,9,Net Banking
256,9,Net Banking
257,6,Debit Card
258,2,UPI
259,3,Net Banking
260,5,UPI
261,3,Debit Card
262,10,Debit Card
263,3,UPI
264,6,Credit Card
265,6,Debit Card
266,10,UPI
267,5,Debit Card
268,5,Net Banking
269,10,UPI
270,10,Debit Card
271,10,Cash on Delivery
272,5,Net Banking
273,6,Credit Card
274,8,Debit Card
275,7,UPI
276,6,Credit Card
277,2,Debit Card
278,3,Debit Card
279,2,UPI
280,8,Net Banking
281,3,Credit Card
282,5,Credit Card
283,1,Credit Card
284,7,Debit Card
285,6,UPI
286,4,Cash on Delivery
287,1,UPI
288,8,Net Banking
289,9,Cash on Delivery
290,3,Debit Card
291,2,Cash on Delivery
292,5,Debit Card
293,10,Cash on Delivery
294,9,Debit Card
295,1,Credit Card
296,10,Cash on Delivery
297,4,Net Banking
298,5,UPI
299,2,Cash on Delivery
300,8,UPI
301,5,Credit Card
302,9,Debit Card
303,1,Net Banking
304,6,Credit Card
305,2,UPI
306,5,UPI
307,9,Net Banking
308,1,UPI
309,7,Credit Card
310,7,UPI
311,1,Net Banking
312,3,Net Banking
313,1,UPI
314,7,Net Banking
315,10,UPI
316,10,UPI
317,1,Debit Card
318,6,Net Banking
319,1,Debit Card
320,5,Cash on Delivery
321,3,Cash on Delivery
322,9,Debit Card
323,6,Cash on Delivery
324,4,UPI
325,10,Cash on Delivery
326,7,Cash on Delivery
327,4,Debit Card
328,1,Cash on Delivery
329,4,Net Banking
330,2,Debit Card
331,6,Net Banking
332,10,Debit Card
333,10,Cash on Delivery
334,1,Debit Card
335,4,Debit Card
336,10,Credit Card
337,3,Net Banking
338,2,Net Banking
339,7,Cash on Delivery
340,8,Debit Card
341,5,Net Banking
342,5,Cash on Delivery
343,4,Debit Card
344,10,Credit Card
345,1,Credit Card
346,9,Debit Card
347,5,Net Banking
348,7,Credit Card
349,7,UPI
350,7,UPI
351,3,Cash on Delivery
352,2,Cash on Delivery
353,1,Cash on Delivery
354,3,Debit Card
355,2,Cash on Delivery
356,1,Credit Card
357,10,Cash on Delivery
358,5,Credit Card
359,6,UPI
360,1,Cash on Delivery
361,4,Debit Card
362,2,Net Banking
363,9,Cash on Delivery
364,7,Net Banking
365,1,Net Banking
366,8,Debit Card
367,10,Cash on Delivery
368,10,UPI
369,1,Credit Card
370,1,UPI
371,1,Cash on Delivery
372,1,Credit Card
373,3,Net Banking
374,4,UPI
375,7,Credit Card
376,6,Cash on Delivery
377,8,Credit Card
378,10,Credit Card
379,2,Debit Card
380,4,Credit Card
381,5,Cash on Delivery
382,7,Cash on Delivery
383,8,Net Banking
384,7,Cash on Delivery
385,5,UPI
386,6,Net Banking
387,6,Credit Card
388,3,Credit Card
389,7,Credit Card
390,8,Debit Card
391,5,Debit Card
392,7,UPI
393,1,Cash on Delivery
394,4,Cash on Delivery
395,6,UPI
396,1,Cash on Delivery
397,3,Net Banking
398,2,Net Banking
399,8,Credit Card
400,9,Credit Card
401,5,Net Banking
402,3,Cash on Delivery
403,10,UPI
404,8,Cash on Delivery
405,7,Debit Card
406,4,Cash on Delivery
407,6,UPI
408,5,Debit Card
409,6,Debit Card
410,8,Debit Card
411,7,Debit Card
412,6,Credit Card
413,9,UPI
414,7,Cash on Delivery
415,5,Credit Card
416,9,Net Banking
417,8,Cash on Delivery
418,5,Debit Card
