Order_ID,Region,Product_Category,Customer_Segment
1,North,Clothing,Corporate
2,South,Beauty,Home Office
3,West,Sports,Corporate
4,North,Clothing,Consumer
5,South,Home & Kitchen,Consumer
6,North,Sports,Consumer
7,West,Electronics,Home Office
8,South,Clothing,Corporate
9,West,Electronics,Corporate
10,South,Beauty,Consumer
11,West,Electronics,Home Office
12,East,Sports,Consumer
13,East,Beauty,Corporate
14,East,Electronics,Consumer
15,West,Home & Kitchen,Corporate
16,North,Sports,Home Office
17,North,Sports,Home Office
18,West,Home & Kitchen,Home Office
19,East,Clothing,Corporate
20,South,Beauty,Consumer
21,South,Sports,Consumer
22,South,Electronics,Home Office
23,East,Sports,Consumer
24,North,Electronics,Home Office
25,West,Sports,Home Office
26,North,Beauty,Consumer
27,North,Beauty,Corporate
28,North,Electronics,Home Office
29,South,Clothing,Corporate
30,North,Electronics,Consumer
31,East,Clothing,Corporate
32,North,Clothing,Corporate
33,North,Clothing,Home Office
34,South,Sports,Corporate
35,South,Home & Kitchen,Consumer
36,South,Beauty,Consumer
37,West,Home & Kitchen,Home Office
38,West,Sports,Consumer
39,North,Electronics,Consumer
40,South,Sports,Corporate
41,South,Beauty,Home Office
42,South,Home & Kitchen,Home Office
43,East,Electronics,Home Office
44,North,Sports,Consumer
45,North,Home & Kitchen,Corporate
46,West,Beauty,Consumer
47,West,Electronics,Consumer
48,East,Beauty,Corporate
49,West,Sports,Corporate
50,West,Home & Kitchen,Consumer
51,North,Beauty,Home Office
52,West,Beauty,Consumer
53,East,Home & Kitchen,Home Office
54,East,Sports,Consumer
55,North,Clothing,Home Office
56,South,Sports,Consumer
57,South,Electronics,Home Office
58,East,Home & Kitchen,Consumer
59,South,Sports,Corporate
60,West,Electronics,Home Office
61,East,Home & Kitchen,Consumer
62,North,Clothing,Home Office
63,North,Sports,Corporate
64,North,Sports,Consumer
65,West,Home & Kitchen,Consumer
66,East,Sports,Home Office
67,North,Sports,Consumer
68,North,Sports,Corporate
69,East,Electronics,Consumer
70,South,Electronics,Corporate
71,West,Clothing,Home Office
72,North,Clothing,Corporate
73,East,Clothing,Consumer
74,East,Electronics,Home Office
75,West,Home & Kitchen,Consumer
76,South,Electronics,Corporate
77,West,Electronics,Home Office
78,East,Beauty,Consumer
79,East,Home & Kitchen,Corporate
80,East,Electronics,Corporate
81,West,Sports,Consumer
82,North,Home & Kitchen,Corporate
83,West,Sports,Corporate
84,East,Sports,Consumer
85,West,Home & Kitchen,Home Office
86,North,Sports,Consumer
87,East,Clothing,Corporate
88,West,Electronics,Consumer
89,North,Clothing,Consumer
90,South,Home & Kitchen,Home Office
91,South,Clothing,Home Office
92,South,Sports,Home Office
93,East,Beauty,Home Office
94,West,Electronics,Home Office
95,West,Clothing,Home Office
96,East,Clothing,Consumer
97,East,Home & Kitchen,Consumer
98,South,Home & Kitchen,Consumer
99,North,Beauty,Consumer
100,North,Sports,Home Office
101,West,Beauty,Corporate
102,North,Electronics,Corporate
103,South,Home & Kitchen,Home Office
104,North,Home & Kitchen,Corporate
105,North,Electronics,Consumer
106,North,Beauty,Corporate
107,West,Electronics,Consumer
108,North,Beauty,Consumer
109,West,Beauty,Corporate
110,West,Home & Kitchen,Home Office
111,East,Sports,Consumer
112,West,Beauty,Consumer
113,South,Beauty,Consumer
114,West,Home & Kitchen,Corporate
115,South,Beauty,Home Office
116,North,Sports,Home Office
117,North,Home & Kitchen,Consumer
118,North,Sports,Home Office
119,West,Beauty,Home Office
120,North,Electronics,Corporate
121,North,Clothing,Corporate
122,South,Sports,Home Office
123,South,Beauty,Home Office
124,East,Sports,Corporate
125,East,Home & Kitchen,Corporate
126,East,Home & Kitchen,Home Office
127,South,Sports,Corporate
128,West,Clothing,Corporate
129,North,Sports,Consumer
130,South,Home & Kitchen,Consumer
131,West,Home & Kitchen,Home Office
132,East,Clothing,Home Office
133,West,Sports,Home Office
134,South,Electronics,Home Office
135,South,Home & Kitchen,Consumer
136,East,Electronics,Corporate
137,East,Sports,Corporate
138,West,Clothing,Corporate
139,North,Electronics,Corporate
140,East,Home & Kitchen,Home Office
141,South,Beauty,Home Office
142,North,Home & Kitchen,Consumer
143,North,Electronics,Corporate
144,North,Electronics,Home Office
145,North,Home & Kitchen,Corporate
146,East,Clothing,Corporate
147,South,Electronics,Consumer
148,East,Beauty,Consumer
149,North,Electronics,Home Office
150,West,Electronics,Consumer
151,West,Clothing,Corporate
152,South,Sports,Consumer
153,West,Electronics,Consumer
154,East,Electronics,Home Office
155,East,Home & Kitchen,Consumer
156,South,Clothing,Corporate
157,North,Electronics,Consumer
158,North,Beauty,Corporate
159,East,Sports,Home Office
160,North,Clothing,Corporate
161,East,Clothing,Corporate
162,South,Sports,Consumer
163,South,Electronics,Home Office
164,West,Sports,Corporate
165,North,Sports,Home Office
166,South,Electronics,Home Office
167,West,Home & Kitchen,Corporate
168,North,Home & Kitchen,Consumer
169,North,Electronics,Corporate
170,West,Home & Kitchen,Corporate
171,West,Sports,Corporate
172,West,Beauty,Consumer
173,West,Electronics,Consumer
174,East,Beauty,Consumer
175,West,Clothing,Consumer
176,South,Sports,Home Office
177,West,Sports,Corporate
178,West,Sports,Consumer
179,West,Home & Kitchen,Corporate
180,East,Electronics,Home Office
181,West,Home & Kitchen,Corporate
182,North,Clothing,Home Office
183,North,Beauty,Consumer
184,East,Beauty,Consumer
185,East,Home & Kitchen,Corporate
186,East,Beauty,Corporate
187,East,Electronics,Corporate
188,West,Clothing,Consumer
189,South,Home & Kitchen,Corporate
190,West,Home & Kitchen,Corporate
191,South,Clothing,Consumer
192,North,Electronics,Consumer
193,East,Electronics,Consumer
194,South,Clothing,Corporate
195,West,Sports,Home Office
196,East,Electronics,Home Office
197,North,Beauty,Home Office
198,South,Sports,Home Office
199,North,Sports,Consumer
200,North,Electronics,Consumer
201,West,Beauty,Home Office
202,West,Home & Kitchen,Corporate
203,North,Beauty,Corporate
204,West,Sports,Home Office
205,West,Electronics,Consumer
206,North,Beauty,Consumer
207,East,Clothing,Corporate
208,East,Beauty,Home Office
209,East,Electronics,Corporate
210,East,Clothing,Home Office
211,South,Home & Kitchen,Consumer
212,West,Clothing,Consumer
213,West,Home & Kitchen,Consumer
214,North,Sports,Corporate
215,North,Sports,Consumer
216,West,Beauty,Corporate
217,East,Beauty,Home Office
218,East,Sports,Corporate
219,South,Electronics,Corporate
220,South,Sports,Home Office
221,West,Beauty,Corporate
222,East,Electronics,Consumer
223,East,Beauty,Corporate
224,North,Electronics,Corporate
225,East,Clothing,Home Office
226,South,Beauty,Home Office
227,North,Electronics,Home Office
228,West,Home & Kitchen,Home Office
229,North,Sports,Corporate
230,North,Clothing,Consumer
231,South,Home & Kitchen,Home Office
232,East,Beauty,Home Office
233,West,Beauty,Corporate
234,East,Clothing,Corporate
235,East,Clothing,Consumer
236,East,Clothing,Home Office
237,East,Beauty,Corporate
238,West,Home & Kitchen,Home Office
239,East,Beauty,Consumer
240,East,Sports,Consumer
241,North,Home & Kitchen,Home Office
242,East,Sports,Corporate
243,West,Home & Kitchen,Consumer
244,West,Electronics,Consumer
245,North,Clothing,Corporate
246,West,Home & Kitchen,Consumer
247,East,Home & Kitchen,Consumer
248,East,Home & Kitchen,Home Office
249,South,Sports,Home Office
250,South,Home & Kitchen,Home Office
251,North,Sports,Home Office
252,North,Clothing,Corporate
253,South,Electronics,Home Office
254,South,Beauty,Home Office
255,South,Sports,Home Office
256,South,Beauty,Corporate
257,South,Clothing,Consumer
258,West,Sports,Home Office
259,South,Electronics,Consumer
260,East,Clothing,Corporate
261,North,Electronics,Home Office
262,North,Clothing,Corporate
263,North,Electronics,Consumer
264,North,Clothing,Corporate
265,East,Home & Kitchen,Corporate
266,North,Home & Kitchen,Consumer
267,South,Beauty,Consumer
268,East,Home & Kitchen,Home Office
269,West,Electronics,Consumer
270,East,Home & Kitchen,Home Office
271,South,Clothing,Home Office
272,South,Sports,Home Office
273,North,Clothing,Corporate
274,East,Beauty,Consumer
275,West,Electronics,Corporate
276,East,Beauty,Home Office
277,West,Sports,Consumer
278,East,Sports,Consumer
279,North,Beauty,Consumer
280,West,Home & Kitchen,Consumer
281,South,Home & Kitchen,Corporate
282,South,Clothing,Consumer
283,North,Sports,Consumer
284,South,Electronics,Consumer
285,East,Sports,Consumer
286,East,Home & Kitchen,Consumer
287,North,Electronics,Consumer
288,West,Clothing,Corporate
289,North,Home & Kitchen,Home Office
290,North,Beauty,Consumer
291,West,Clothing,Corporate
292,North,Beauty,Corporate
293,West,Beauty,Home Office
294,East,Beauty,Home Office
295,West,Electronics,Corporate
296,North,Electronics,Home Office
297,North,Home & Kitchen,Home Office
298,South,Beauty,Home Office
299,North,Electronics,Home Office
300,East,Beauty,Corporate
301,North,Sports,Home Office
302,West,Home & Kitchen,Corporate
303,East,Beauty,Corporate
304,North,Beauty,Corporate
305,South,Sports,Home Office
306,South,Home & Kitchen,Corporate
307,North,Beauty,Corporate
308,North,Sports,Consumer
309,West,Beauty,Corporate
310,South,Home & Kitchen,Consumer
311,North,Clothing,Consumer
312,South,Home & Kitchen,Home Office
313,North,Home & Kitchen,Consumer
314,West,Beauty,Home Office
315,East,Electronics,Home Office
316,North,Beauty,Home Office
317,North,Clothing,Consumer
318,South,Beauty,Consumer
319,North,Beauty,Home Office
320,South,Clothing,Consumer
321,East,Sports,Corporate
322,North,Clothing,Home Office
323,West,Home & Kitchen,Consumer
324,West,Sports,Corporate
325,South,Home & Kitchen,Home Office
326,East,Home & Kitchen,Corporate
327,West,Electronics,Home Office
328,North,Sports,Home Office
329,East,Clothing,Corporate
330,South,Electronics,Consumer
331,East,Home & Kitchen,Consumer
332,West,Sports,Corporate
333,South,Sports,Home Office
334,North,Beauty,Corporate
335,North,Clothing,Home Office
336,South,Electronics,Consumer
337,North,Sports,Corporate
338,East,Home & Kitchen,Corporate
339,West,Home & Kitchen,Home Office
340,West,Sports,Corporate
341,East,Electronics,Corporate
342,North,Clothing,Home Office
343,East,Clothing,Consumer
344,West,Electronics,Corporate
345,East,Home & Kitchen,Home Office
346,East,Electronics,Home Office
347,South,Clothing,Corporate
348,East,Clothing,Corporate
349,North,Sports,Home Office
350,North,Sports,Consumer
351,West,Clothing,Corporate
352,North,Clothing,Corporate
353,East,Sports,Corporate
354,West,Home & Kitchen,Consumer
355,North,Clothing,Home Office
356,South,Electronics,Home Office
357,North,Beauty,Home Office
358,East,Home & Kitchen,Consumer
359,North,Sports,Consumer
360,South,Beauty,Corporate
361,South,Sports,Home Office
362,West,Home & Kitchen,Corporate
363,West,Electronics,Corporate
364,South,Sports,Consumer
365,West,Clothing,Consumer
366,North,Home & Kitchen,Corporate
367,East,Clothing,Home Office
368,South,Sports,Home Office
369,South,Clothing,Corporate
370,West,Sports,Corporate
371,East,Sports,Consumer
372,South,Clothing,Consumer
373,West,Electronics,Consumer
374,West,Sports,Corporate
375,South,Home & Kitchen,Home Office
376,West,Sports,Consumer
377,West,Electronics,Consumer
378,South,Clothing,Consumer
379,East,Clothing,Consumer
380,South,Electronics,Consumer
381,North,Electronics,Consumer
382,East,Sports,Corporate
383,North,Beauty,Home Office
384,West,Electronics,Corporate
385,West,Beauty,Home Office
386,West,Clothing,Home Office
387,East,Sports,Consumer
388,East,Sports,Consumer
389,East,Beauty,Consumer
390,North,Electronics,Home Office
391,West,Clothing,Corporate
392,West,Beauty,Corporate
393,South,Clothing,Consumer
394,East,Beauty,Home Office
395,South,Beauty,Consumer
396,East,Sports,Consumer
397,West,Home & Kitchen,Home Office
398,East,Home & Kitchen,Corporate
399,North,Sports,Home Office
400,West,Home & Kitchen,Corporate
401,North,Home & Kitchen,Corporate
402,South,Home & Kitchen,Corporate
403,East,Home & Kitchen,Consumer
404,East,Electronics,Consumer
405,West,Home & Kitchen,Consumer
406,South,Clothing,Consumer
407,West,Electronics,Corporate
408,North,Clothing,Consumer
409,South,Sports,Corporate
410,West,Home & Kitchen,Corporate
411,North,Clothing,Consumer
412,North,Home & Kitchen,Consumer
413,South,Electronics,Home Office
414,East,Home & Kitchen,Corporate
415,South,Home & Kitchen,Corporate
416,North,Electronics,Home Office
417,South,Clothing,Corporate
418,West,Sports,Consumer
419,South,Home & Kitchen,Corporate
420,South,Electronics,Home Office
421,East,Beauty,Consumer
422,West,Sports,Home Office
423,East,Home & Kitchen,Consumer
424,East,Electronics,Home Office
425,West,Beauty,Home Office
426,North,Sports,Home Office
427,North,Beauty,Home Office
428,South,Beauty,Consumer
429,North,Beauty,Consumer
430,North,Sports,Consumer
431,East,Clothing,Consumer
432,South,Clothing,Home Office
433,North,Home & Kitchen,Home Office
434,East,Clothing,Home Office
435,East,Beauty,Corporate
436,West,Electronics,Home Office
437,North,Home & Kitchen,Home Office
438,South,Home & Kitchen,Corporate
439,South,Beauty,Corporate
440,North,Beauty,Corporate
441,South,Clothing,Corporate
442,West,Home & Kitchen,Consumer
443,East,Clothing,Corporate
444,East,Beauty,Home Office
445,East,Sports,Corporate
446,North,Sports,Home Office
447,West,Home & Kitchen,Home Office
448,West,Home & Kitchen,Consumer
449,North,Home & Kitchen,Consumer
450,South,Beauty,Corporate
451,West,Beauty,Consumer
452,South,Home & Kitchen,Corporate
453,North,Sports,Consumer
454,South,Clothing,Consumer
455,West,Electronics,Home Office
456,South,Home & Kitchen,Consumer
457,East,Clothing,Consumer
458,South,Home & Kitchen,Home Office
459,East,Electronics,Consumer
460,West,Beauty,Home Office
461,North,Beauty,Consumer
462,North,Sports,Home Office
463,East,Home & Kitchen,Corporate
464,West,Beauty,Consumer
465,West,Electronics,Home Office
466,North,Clothing,Corporate
467,East,Clothing,Consumer
468,East,Clothing,Home Office
469,East,Clothing,Consumer
470,North,Beauty,Corporate
471,North,Sports,Home Office
472,East,Home & Kitchen,Home Office
473,North,Sports,Home Office
474,South,Home & Kitchen,Consumer
475,South,Beauty,Home Office
476,East,Electronics,Consumer
477,North,Sports,Corporate
478,North,Electronics,Corporate
479,West,Home & Kitchen,Consumer
